id,name,description,short_description,category,sub_category,grade,star,sprite,sprite_product,order,enchant_level,enchant_point,max_stack,option,option_client_only,price,sell_price,cash,ladder_point,boss_point,crusade_point,arena_point,worth,disabled,buff,set_id,item_info,model,hero_limit,model_level,max_socket,level_limit,rank_limit,hero_grade_limit,hero_level_limit,invasion_point
@ye_hyoung,예형의 호패,예형의 호패,,hero_token,wizard,unique,,hero_ye_hyoung,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@ma_un_rok,마운록의 호패,마운록의 호패,,hero_token,rogue,unique,,hero_ma_un_rok,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@yuk_jeok,육적의 호패,육적의 호패,,hero_token,rogue,unique,,hero_yuk_jeok,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@ja_ha_seon_in,자하선인의 호패,자하선인의 호패,,hero_token,wizard,unique,,hero_ja_ha_seon_in ,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@baek_gi,백기의 호패,백기의 호패,,hero_token,tank,unique,,hero_baek_gi,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@jin_si_hwang,진시황의 호패,진시황의 호패,,hero_token,paladin,unique,,hero_jin_si_hwang,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@yeo_bul_wi,여불위의 호패,여불위의 호패,,hero_token,wizard,unique,,hero_yeo_bul_wi,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@wang_jeon,왕전의 호패,왕전의 호패,,hero_token,rogue,unique,,hero_wang_jeon,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@young_gyu,영규의 호패,영규의 호패,,hero_token,tank,unique,,hero_young_gyu,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@yang_dan_hwa,양단화의 호패,양단화의 호패,,hero_token,wizard,unique,,hero_yang_dan_hwa,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@oh_ja_seo,오자서의 호패,오자서의 호패,,hero_token,ranger,unique,,hero_oh_ja_seo,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@ak_ui,악의의 호패,악의의 호패,,hero_token,tank,unique,,hero_ak_ui,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@yeom_pa,염파의 호패,염파의 호패,,hero_token,tank,unique,,hero_yeom_pa,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@i_mok,이목의 호패,이목의 호패,,hero_token,rogue,legend,,hero_i_mok,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@hyeong_ga,형가의 호패,형가의 호패,,hero_token,rogue,unique,,hero_hyeong_ga,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@oh_gi,오기의 호패,오기의 호패,,hero_token,ranger,rare,,hero_oh_gi,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@ha_o_ma_ru,하오마루의 호패,하오마루의 호패,,hero_token,tank,legend,,hero_ha_o_ma_ru,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@cha_r_lot_te,샤를로트의 호피,샤를로트의 호피,,hero_token,tank,unique,,hero_cha_r_lot_te,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@han_zo,한조의 호패,한조의 호패,,hero_token,rogue,unique,,hero_han_zo,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@mi_zu_ki,미즈키의 호패,미즈키의 호패,,hero_token,wizard,unique,,hero_mi_zu_ki,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@shi_zu_ma_ru,시즈마루의 호패,시즈마루의 호패,,hero_token,rogue,unique,,hero_shi_zu_ma_ru,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@ri_mu_ru_ru,리무루루의 호패,리무루루의 호패,,hero_token,wizard,unique,,hero_ri_mu_ru_ru,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@kyo_shi_ro,쿄시로의 호패,쿄시로의 호패,,hero_token,tank,unique,,hero_kyo_shi_ro,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@a_ma_ku_sa,아마쿠사의 호패,아마쿠사의 호패,,hero_token,paladin,unique,,hero_a_ma_ku_sa,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@mi_na,미나의 호패,미나의 호패,,hero_token,ranger,unique,,hero_mi_na,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@na_ko_ru_ru,나코루루의 호패,나코루루의 호패,,hero_token,rogue,legend,,hero_na_ko_ru_ru,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@gen_ju_ro,겐쥬로의 호패,겐쥬로의 호패,,hero_token,tank,unique,,hero_gen_ju_ro,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@u_kyo,우쿄의 호패,우쿄의 호패,,hero_token,rogue,unique,,hero_u_kyo,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@gal_ford,갈포드의 호패,갈포드의 호패,,hero_token,tank,unique,,hero_gal_ford,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@zan_ku_rou,잔쿠로의 호패,잔쿠로의 호패,,hero_token,rogue,unique,,hero_zan_ku_rou,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@u_mi_in,우미인의 호패,우미인의 호패,,hero_token,ranger,unique,,hero_u_mi_in,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@hang_u,항우의 호패,항우의 호패,,hero_token,tank,legend,,hero_hang_u,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@hang_ryang,항량의 호패,항량의 호패,,hero_token,rogue,unique,,hero_hang_ryang,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@beom_jeung,범증의 호패,범증의 호패,,hero_token,wizard,unique,,hero_beom_jeung,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@young_po,영포의 호패,영포의 호패,,hero_token,rogue,unique,,hero_young_po,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@ui_jae,의제의 호패,의제의 호패,,hero_token,paladin,unique,,hero_ui_jae,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@han_sin,한신의 호패,한신의 호패,,hero_token,rogue,legend,,hero_han_sin,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@beon_kwae,번쾌의 호패,번쾌의 호패,,hero_token,tank,unique,,hero_beon_kwae,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@paeng_wol,팽월의 호패,팽월의 호패,,hero_token,tank,unique,,hero_paeng_wol,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@yeo_tae_hu,여태후의 호패,여태후의 호패,,hero_token,ranger,unique,,hero_yeo_tae_hu,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@zang_ryang,장량의 호패,장량의 호패,,hero_token,wizard,unique,,hero_zang_ryang,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@yu_bang,유방의 호패,유방의 호패,,hero_token,paladin,unique,,hero_yu_bang,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@so_ha,소하의 호패,소하의 호패,,hero_token,wizard,unique,,hero_so_ha,,,,,999,,,100000,10000,140,3,10,48,,10000,,,,,,,,,,,,,
@i_sin,이신의 호패,이신의 호패,,hero_token,rogue,unique,,hero_i_sin,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@chun_sin_gun,춘신군의 호패,춘신군의 호패,,hero_token,paladin,unique,,hero_chun_sin_gun,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@mong_mu,몽무의 호패,몽무의 호패,,hero_token,tank,unique,,hero_mong_mu,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@in_sang_yeo,인상여의 호패,인상여의 호패,,hero_token,wizard,unique,,hero_in_sang_yeo,,,,,999,,,100000,10000,140,3,10,48,,10000,,,,,,,,,,,,,
@chang_hae_yeok_sa,창해역사의 호패,창해역사의 호패,,hero_token,tank,unique,,hero_chang_hae_yeok_sa,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@jin_seung,진승의 호패,진승의 호패,,hero_token,rogue,unique,,hero_jin_seung,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@jang_han,장한의 호패,장한의 호패,,hero_token,tank,unique,,hero_jang_han,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@yong_jeo,용저의 호패,용저의 호패,,hero_token,rogue,unique,,hero_yong_jeo,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@seo_si,서시의 호패,서시의 호패,,hero_token,wizard,unique,,hero_seo_si,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_jang_so,장소의 호패,장소의 호패,,hero_token,wizard,unique,,hero_z_jang_so,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_son_sang_hyang,손상향의 호패,손상향의 호패,,hero_token,rogue,unique,,hero_z_son_sang_hyang,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_goe_wol,괴월의 호패,괴월의 호패,,hero_token,wizard,unique,,hero_z_goe_wol,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_chae_yeom,채염의 호패,채염의 호패,,hero_token,wizard,unique,,hero_z_chae_yeom,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_ma_sok,마속의 호패,마속의 호패,,hero_token,ranger,unique,,hero_z_ma_sok,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_won_sul,원술의 호패,원술의 호패,,hero_token,paladin,unique,,hero_z_won_sul,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_mu_an_guk,무안국의 호패,무안국의 호패,,hero_token,tank,unique,,hero_z_mu_an_guk,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_ol_dol_gol,올돌골의 호패,올돌골의 호패,,hero_token,rogue,unique,,hero_z_ol_dol_gol,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_gwan_gu_geom,관구검의 호패,관구검의 호패,,hero_token,tank,unique,,hero_z_gwan_gu_geom,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@dong_cheon_wang,동천왕의 호패,동천왕의 호패,,hero_token,tank,unique,,hero_dong_cheon_wang,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_jang_po,장포의 호패,장포의 호패,,hero_token,tank,unique,,hero_z_jang_po,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_sin_heon_yeong,신헌영의 호패,신헌영의 호패,,hero_token,wizard,unique,,hero_z_sin_heon_yeong,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_sa_ma_ga,사마가의 호패,사마가의 호패,,hero_token,tank,unique,,hero_z_sa_ma_ga,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_jo_chang,조창의 호패,조창의 호패,,hero_token,rogue,unique,,hero_z_jo_chang,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_yu_seon,유선의 호패,유선의 호패,,hero_token,paladin,unique,,hero_z_yu_seon,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_ma_ryang,마량의 호패,마량의 호패,,hero_token,wizard,unique,,hero_z_ma_ryang,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@oh_guk_tae,오국태의 호패,오국태의 호패,,hero_token,paladin,unique,,hero_oh_guk_tae,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_seo_seong,서성의 호패,서성의 호패,,hero_token,tank,unique,,hero_z_seo_seong,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_gwak_sa,곽사의 호패,곽사의 호패,,hero_token,rogue,unique,,hero_z_gwak_sa,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_i_gak,이각의 호패,이각의 호패,,hero_token,tank,unique,,hero_z_i_gak,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_jang_bo,장보의 호패,장보의 호패,,hero_token,ranger,unique,,hero_z_jang_bo,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_jeong_won_ji,정원지의 호패,정원지의 호패,,hero_token,tank,unique,,hero_z_jeong_won_ji,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@z_bu_cheom,부첨의 호패,부첨의 호패,,hero_token,rogue,unique,,hero_bu_cheom,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
awaken_token,각성석,신비한 힘이 담긴 각성석입니다.,,awaken_token,,unique,,awaken_token,,,,,999,,,,,,,,,,,,,,,,,,,,,,,
jade,곡옥,고귀한 자태가 느껴집니다.,,jade,,unique,,jade_point,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,
fire_essence,불꽃의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,fire,unique,,fire_essence,,,,,9999,,,999999,1000,,,,,,,,,,,,,,,,,,,
ice_essence,얼음의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,ice,unique,,ice_essence,,,,,9999,,,999999,1000,,,,,,,,,,,,,,,,,,,
lightning_essence,번개의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,lightning,unique,,lightning_essence,,,,,9999,,,999999,1000,,,,,,,,,,,,,,,,,,,
poison_essence,자연의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,poison,unique,,poison_essence,,,,,9999,,,999999,1000,,,,,,,,,,,,,,,,,,,
divine_essence,빛의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,divine,unique,,divine_essence,,,,,9999,,,999999,1000,,,,,,,,,,,,,,,,,,,
dark_essence,어둠의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,dark,unique,,dark_essence,,,,,9999,,,999999,1000,,,,,,,,,,,,,,,,,,,
physic_essence,힘의 정수,정수에서 강력한 기운이 느껴집니다.,,essence,physic,unique,,physic_essence,,,,,9999,,,999999,1000,,,,,,,1,,,,,,,,,,,,
random_essence_1,정수 자루,정수의 강력한 기운이 흘러나오고 있습니다.,,random_box,,unique,,guild_battle_daily_reward_lose,,,,,9999,random_essence_1,,,,,,,,,,1,,,,green,,,,,,,,
random_essence_2,정수 상자,정수의 강력한 기운이 흘러나오고 있습니다.,,random_box,,unique,,guild_battle_daily_reward_draw,,,,,9999,random_essence_2,,,,,,,,,,1,,,,red,,,,,,,,
random_essence_3,정수 궤짝,정수의 강력한 기운이 흘러나오고 있습니다.,,random_box,,unique,,guild_battle_daily_reward_win,,,,,9999,random_essence_3,,,,,,,,,,1,,,,yellow,,,,,,,,
token_tier_s,S등급 장수 토큰,랜덤한 S등급 장수 토큰입니다,,hero_tier_token,,normal,,item_hero_tier_token_a,,,,,999,,,100,10,,,,,,100,1,,,,,,,,,,,,
token_tier_a,A등급 장수 토큰,랜덤한 A등급 장수 토큰입니다,,hero_tier_token,,normal,,item_hero_tier_token_a,,,,,999,,,100,10,,,,,,100,1,,,,,,,,,,,,
token_tier_b,B등급 장수 토큰,랜덤한 B등급 장수 토큰입니다,,hero_tier_token,,normal,,item_hero_tier_token_a,,,,,999,,,100,10,,,,,,100,1,,,,,,,,,,,,
token_tier_c,C등급 장수 토큰,랜덤한 C등급 장수 토큰입니다,,hero_tier_token,,normal,,item_hero_tier_token_a,,,,,999,,,100,10,,,,,,100,1,,,,,,,,,,,,
token_tier_d,D등급 장수 토큰,랜덤한 D등급 장수 토큰입니다,,hero_tier_token,,normal,,item_hero_tier_token_a,,,,,999,,,100,10,,,,,,100,1,,,,,,,,,,,,
bath_ingredient_1,속초,온천에 넣으면 처치시 기력 획득량이 증가합니다,,bath_ingredient,bath_ingredient,normal,,bath_ingredient_1,,,,,999,20m/1,,2000,200,,1,1,1,,2000,1,,,,,,,,,,,,
bath_ingredient_2,운기조식초,온천에 넣으면 체력 회복량이 증가합니다,,bath_ingredient,bath_ingredient,normal,,bath_ingredient_2,,,,,999,20m/1,,5000,500,,2,2,2,,5000,1,,,,,,,,,,,,
bath_ingredient_3,총명목,온천에 넣으면 기력과 체력 회복량이 증가합니다,,bath_ingredient,bath_ingredient,magic,,bath_ingredient_3,,,,,999,20m/1,,10000,1000,,3,3,3,,10000,1,,,,,,,,,,,,
bath_ingredient_4,가속초,온천에 넣으면 장수의 공격속도가 증가합니다,,bath_ingredient,bath_ingredient,magic,,bath_ingredient_4,,,,,999,20m/1,,15000,1500,,4,4,4,,15000,1,,,,,,,,,,,,
bath_ingredient_5,혈석초,온천에 넣으면 장수의 경험치가 증가합니다.,,bath_ingredient,bath_ingredient,rare,,bath_ingredient_5,,,,,999,20m/1,,20000,2000,,5,5,5,,20000,1,,,,,,,,,,,,
exp_potion_1,연명포,장수 경험치 +20,,potion,hero_exp,trash,,exp_potion_1,,,,,999,20 0,,1000,,5,3,3,3,,1000,,,,,,,,,,,,,
exp_potion_2,행군산,장수 경험치 +50,,potion,hero_exp,normal,,exp_potion_2,,,,,999,50 0,,2000,,10,10,10,10,3,2000,,,,,,,,,,,,,
exp_potion_3,오석산,장수 경험치 +150,,potion,hero_exp,magic,,exp_potion_3,,,,,999,150 0,,5000,,25,20,20,20,9,5000,,,,,,,,,,,,,
exp_potion_4,견혈환,장수 경험치 +500,,potion,hero_exp,rare,,exp_potion_4,,,,,999,500 0,,20000,,100,30,30,30,30,20000,,,,,,,,,,,,,
exp_potion_5,청점환,장수 경험치 +1500,,potion,hero_exp,unique,,exp_potion_5,,,,,999,1500 0,,60000,,300,50,50,50,,60000,,,,,,,,,,,,,
exp_potion_6,견자단,장수 경험치 +5500,,potion,hero_exp,hero,,exp_potion_6,,,,,999,5500 0,,150000,,750,75,75,75,,150000,,,,,,,,,,,,,
enchant_powder_1,하급 강화의 가루,장비 강화 +100,,powder,enchant_powder,magic,,enchant_powder_1,,,,100,999,,,1500,150,15,36,36,36,,1500,,,,,,,,,,,,,
enchant_powder_2,중급 강화의 가루,장비 강화 +200,,powder,enchant_powder,rare,,enchant_powder_2,,,,200,999,,,3500,350,35,100,100,100,,3500,,,,,,,,,,,,,
enchant_powder_3,상급 강화의 가루,장비 강화 +450,,powder,enchant_powder,unique,,enchant_powder_3,,,,450,999,,,8000,800,80,280,280,280,,8000,,,,,,,,,,,,,
enchant_powder_4,최상급 강화의 가루,장비 강화 +900,,powder,enchant_powder,hero,,enchant_powder_4,,,,900,999,,,45000,4500,175,800,800,800,,45000,,,,,,,,,,,,,
enchant_powder_5,기린의 가루,장비 강화 +1800,,powder,enchant_powder,legend,,enchant_powder_5,,,,1800,999,,,80000,8000,350,2000,2000,2000,,80000,1,,,,,,,,,,,,
toad_bronze_1,구리 두꺼비,상점에 팔면 짭잘할 것 같은 두꺼비입니다.,,treasure,gold,normal,,toad_bronze,,,,,999,,,100000,10000,,,,,10,100000,,,,,,,,,,,,,
toad_bronze_3,동 두꺼비,제법 큰 돈이 될 것 같은 두꺼비입니다.,,treasure,gold,normal,,toad_bronze_3,,,,,999,,,300000,30000,,,,,60,300000,,,,,,,,,,,,,
toad_silver_5,은 두꺼비,팔면 아주 큰 돈이 될 것 같은 은두꺼비입니다.,,treasure,gold,magic,,toad_silver,,,,,999,,,500000,50000,,,,,90,500000,,,,,,,,,,,,,
toad_silver_7,순은 두꺼비,팔면 한평생 먹고 살 수 있을 듯한 은두꺼비입니다.,,treasure,gold,magic,,toad_silver_3,,,,,999,,,750000,75000,,,,,120,500000,,,,,,,,,,,,,
toad_gold_10,금 두꺼비,삼대가 부자가 될 정도의 가치를 가진 금두꺼비입니다.,,treasure,gold,rare,,toad_gold,,,,,999,,,1000000,100000,,,,,,1000000,,,,,,,,,,,,,
toad_gold_15,순금 두꺼비,후손 대대로 부자가 될 수 있을 것 같은 금두꺼비입니다.,,treasure,gold,rare,,toad_gold_3,,,,,999,,,1500000,150000,,,,,,1000000,,,,,,,,,,,,,
event_song_pyeon,송편,많이 먹어도 배가 안 부를 것 같은 느낌의 송편입니다.,,event_token,,rare,,event_song_pyeon,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_maple_leaf,단풍잎,가을의 정취가 물씬 느껴지는 단풍잎입니다.,,event_token,,rare,,event_maple_leaf,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_pumpkin,호박,과자를 주지 않으면 장난을 칠테야,,event_token,,rare,,event_pumpkin,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_turkey,칠면조,추수감사절엔 칠면조보단 백숙을...,,event_token,,rare,,event_turkey,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_socks,양말,빨간 양말을 신어봅시다.,,event_token,,rare,,event_socks,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_luckybag,복주머니,새해 복 많이 받으세요!!!,,event_token,,rare,,event_luckybag,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_valentine,초콜렛,초콜렛을 먹으면 기분이 좋아집니다!!,,event_token,,rare,,event_valentine,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_candy,막대사탕,막대사탕은 역시 맛있어!!,,event_token,,rare,,event_candy,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_pinocchio,피노키오,거짓말을 하면 코가 길어집니다.,,event_token,,rare,,event_pinocchio,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_water_gun,물총,시원하게 물총을 쏴보세요.,,event_token,,rare,,event_water_gun,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_golden_week,금괴,너무 반짝반짝 눈이 부셔.,,event_token,,rare,,event_golden_week,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_cake,케이크,먹음직스러워 보입니다.,,event_token,,rare,,event_cake,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_zongzi,쫑즈,단오절엔 쫑즈가 제 맛이죠.,,event_token,,rare,,event_zongzi,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_firework,폭죽,벌써부터 밤이 기다려져요.,,event_token,,rare,,event_firework,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_pearl,진주,모아서 목걸이를 만들어야 겠어요.,,event_token,,rare,,event_pearl,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
evevt_water_melon,수박,수박이 왔어요. 맛 좋은 수박이 왔어요.,,event_token,,rare,,evevt_water_melon,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_ss_1,한조의 검,진정한 닌자만이 사용할 수 있는 검입니다.,,event_token,,rare,,event_ss_1,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_ss_2,갈포드의 표창,갈포드가 애용하는 닌자의 필수 장비입니다.,,event_token,,rare,,event_ss_2,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
event_heart,하트,사랑과 정열을 그대 품 안에!,,event_token,,rare,,event_heart,,,,,9999,,,5000,500,,,,,,1000000,,,,,,,,,,,,,
skill_book,병법서,읽기만 해도 똑똑해지는 느낌을 주는 병법서 입니다,,skill_book,,normal,,skill_book,,,,,30,,,,0,5,15,15,15,,,,,,,,,,,,,,,
sweep_ticket,소탕권,별 3개를 얻은 시나리오 전투와 이미 승리한 보스전 전투를 즉시 완료합니다.,,sweep_ticket,,normal,,sweep_ticket,,,,,999,,,1500,,3,5,5,5,,1500,,,,,,,,,,,,,
championship_ticket,천하제일 장수대전 참가권,천하제일 장수대전에 참가하기 위해 반드시 필요한 참가권 입니다.,,championship_ticket,,normal,,championship_ticket,,,,,99,,,,,,,,,,,,,,,,,,,,,,,
party_gold_item,보물 열쇠,보물 상자에서 쓸만한 장비들을 얻을 수 있습니다,,party_ticket,gold_item,normal,,item_party_ticket,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
party_cash_item,황금 보물 열쇠,고급 보물 상자에서 희귀한 장비들을 얻을 수 있습니다,,party_ticket,cash_item,unique,,item_party_ticket,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
party_gold_hero,장수 연회권,연회장에서 장수를 등용할 수 있습니다,,party_ticket,gold_hero,normal,,herottery_1,,,,,999,,,100000,1000,3,5,5,5,,100000,,,,,,,,,,,,,
party_cash_hero,고급 장수 연회권,연회장에서 장수를 등용할 수 있습니다,,party_ticket,cash_hero,normal,,herottery_2,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_campaign_normal,시나리오 등용권,2~3성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_normal,normal,,herottery_1,,,,,999,,,,0,3,5,5,5,,,1,,,,,,,,,,,,
herottery_campaign_elite,시나리오 정예 등용권,3~4성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_elite,normal,,herottery_1,,,,,999,,,,0,3,5,5,5,,,1,,,,,,,,,,,,
herottery_campaign_2,2성 장수 등용권,2성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_2,normal,,herottery_1,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_campaign_3,3성 장수 등용권,3성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_3,normal,,herottery_1,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_campaign_4,4성 장수 등용권,4성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_4,magic,,herottery_2,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_campaign_5,5성 장수 등용권,5성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_5,rare,,herottery_2,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_campaign_6,6성 장수 등용권,6성 장수를 획득할 수 있습니다,,herottery,herottery_campaign_6,unique,,herottery_2,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_region_event_2,2성 장수 등용권,2성 장수를 획득할 수 있습니다,,herottery,herottery_region_event_2,normal,,herottery_1,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_region_event_3,3성 장수 등용권,3성 장수를 획득할 수 있습니다,,herottery,herottery_region_event_3,magic,,herottery_1,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_region_event_4,4성 장수 등용권,4성 장수를 획득할 수 있습니다,,herottery,herottery_region_event_4,rare,,herottery_2,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
herottery_AA,대장군의 4성 장수 등용권,4성 장수를 획득할 수 있습니다,,herottery,herottery_AA,rare,,herottery_44_66,,,,,999,,,,0,3,5,5,5,,,,,,,,,,,,,,,
